architecture,logical_basis,legend_label,display_label,decoder,enable_correlations_at_compile,enable_correlations_at_decode,observable,metric,p_link,p1,bulk_p2,boundary_x,crossing_two_qubit_locations,bulk_two_qubit_locations,shots,retained_shots,logical_errors,discards,ler,clopper_pearson_95_low,clopper_pearson_95_high,circuit_sha256,noisy_circuit_sha256,strict_dem_sha256,native_dem_sha256,dem_model,sampling_policy,shortest_graphlike_error,source_manifest_sha256,source_native_architecture,total_two_qubit_locations,tqecd_version,tqecd_git_commit,detector_source_manifest_sha256,aggregation_manifest_sha256
standard_d5d5d5,X,d5-d5-d5 X,Standard D5-D5-D5 · logical-X,standard_pymatching,False,False,L0 = X_C(in) X_T(in) -> X_C(out),decoded control-X/backward logical-flow failure probability per CNOT shot,0.001,0.0001,0.0001,9.5,45,4235,45000000,45000000,56,0,1.2444444444444445e-06,9.400400922453615e-07,1.6160143221593037e-06,786729f64280a63db1ea3d973a0310dfb964ee646fd934fad98e0215dd83d047,332530135eec6c2e3884f810227cf72fc1958513215ee836b22ca56e04a8083d,c4258c2d90ef2586137d9593d2cd55fa34e6a774f72519c9e111a5e1763357c7,18863e873c31fc9e568b3c107466a59b5c46164581a0409398f7ae47181385cb,strict_decomposed,authenticated_v3_15000000_plus_independent_30000000_fixed_45000000_standard_pymatching_only,5,19eebdf7bb1ccfacb5eb80b5f82a1eb95e0caf47503c5e74cc85d336edf58055,standard_d5d5d5,4280,0.1.2,6a2b0882a4f72545cac943ed66aece55d9d65747,b08dd94267ac857554d9177ae964362170cd1917b0e7282fdb73391d2c78b07e,d658f25ecfb58d616fcef2d3e3455010adb3b9a163bf1505de817fb6ffb45219
standard_d5d5d5,X,d5-d5-d5 X,Standard D5-D5-D5 · logical-X,standard_pymatching,False,False,L0 = X_C(in) X_T(in) -> X_C(out),decoded control-X/backward logical-flow failure probability per CNOT shot,0.002,0.0001,0.0001,9.5,45,4235,45000000,45000000,149,0,3.311111111111111e-06,2.8008085521058474e-06,3.887492977766751e-06,786729f64280a63db1ea3d973a0310dfb964ee646fd934fad98e0215dd83d047,887f88720268c6cf78bd74e831688e94afdd4edfbcca1568c5d28d83b7e33678,f6afe867b01f5da573f7d7999435e9d8854b8e3fb478f2bdedd6deb5374423ff,0332127d86f0b144a15a337abac943062dcd01c1b9eaf2167012591e59b59142,strict_decomposed,authenticated_v3_15000000_plus_independent_30000000_fixed_45000000_standard_pymatching_only,5,19eebdf7bb1ccfacb5eb80b5f82a1eb95e0caf47503c5e74cc85d336edf58055,standard_d5d5d5,4280,0.1.2,6a2b0882a4f72545cac943ed66aece55d9d65747,b08dd94267ac857554d9177ae964362170cd1917b0e7282fdb73391d2c78b07e,d658f25ecfb58d616fcef2d3e3455010adb3b9a163bf1505de817fb6ffb45219
standard_d5d5d5,X,d5-d5-d5 X,Standard D5-D5-D5 · logical-X,standard_pymatching,False,False,L0 = X_C(in) X_T(in) -> X_C(out),decoded control-X/backward logical-flow failure probability per CNOT shot,0.003,0.0001,0.0001,9.5,45,4235,45000000,45000000,312,0,6.933333333333334e-06,6.185264403687675e-06,7.746941828424437e-06,786729f64280a63db1ea3d973a0310dfb964ee646fd934fad98e0215dd83d047,0bbd4108ddb98972ae62092f51b772838eace2de4e8148c078e3e249097cb9d2,e5fb5f874534c1412273588b8ba504431e370c36ee4bd063249d24f379fd479c,d4fcc2ff1df72bc328b3ceec0bdc3030c5adf19603d6402336159ec8487e4030,strict_decomposed,authenticated_v3_15000000_plus_independent_30000000_fixed_45000000_standard_pymatching_only,5,19eebdf7bb1ccfacb5eb80b5f82a1eb95e0caf47503c5e74cc85d336edf58055,standard_d5d5d5,4280,0.1.2,6a2b0882a4f72545cac943ed66aece55d9d65747,b08dd94267ac857554d9177ae964362170cd1917b0e7282fdb73391d2c78b07e,d658f25ecfb58d616fcef2d3e3455010adb3b9a163bf1505de817fb6ffb45219
standard_d5d5d5,X,d5-d5-d5 X,Standard D5-D5-D5 · logical-X,standard_pymatching,False,False,L0 = X_C(in) X_T(in) -> X_C(out),decoded control-X/backward logical-flow failure probability per CNOT shot,0.004,0.0001,0.0001,9.5,45,4235,45000000,45000000,557,0,1.2377777777777777e-05,1.13710612250728e-05,1.344972766342928e-05,786729f64280a63db1ea3d973a0310dfb964ee646fd934fad98e0215dd83d047,6951f94f2624285eaa4d1dd5ba3d40f0b4bb9a56429a47bf6b03c4e213a4c6ab,de82dfb32f1d44fafc086fc6a3b01cf706ce44787fe898334a5091bb8fb97a2a,93acf7143351e92a8bf211cddefbe5f188172e589c4d663d06c7a1b1e75a028c,strict_decomposed,authenticated_v3_15000000_plus_independent_30000000_fixed_45000000_standard_pymatching_only,5,19eebdf7bb1ccfacb5eb80b5f82a1eb95e0caf47503c5e74cc85d336edf58055,standard_d5d5d5,4280,0.1.2,6a2b0882a4f72545cac943ed66aece55d9d65747,b08dd94267ac857554d9177ae964362170cd1917b0e7282fdb73391d2c78b07e,d658f25ecfb58d616fcef2d3e3455010adb3b9a163bf1505de817fb6ffb45219
standard_d5d5d5,X,d5-d5-d5 X,Standard D5-D5-D5 · logical-X,standard_pymatching,False,False,L0 = X_C(in) X_T(in) -> X_C(out),decoded control-X/backward logical-flow failure probability per CNOT shot,0.005,0.0001,0.0001,9.5,45,4235,45000000,45000000,1026,0,2.28e-05,2.1426067538050965e-05,2.4238924234624198e-05,786729f64280a63db1ea3d973a0310dfb964ee646fd934fad98e0215dd83d047,65ee363a920801eb77ceef4ad7406b95467fc71a022d894118852cc8299ae67c,6f2884dba5c47c4835b3bbdbd55be3b3c601d85c263bcb1c54fda73436812008,7f70e48197c253111dac83d93fa29c78a5663acdd485e6f37bb3dfcd0c77c308,strict_decomposed,authenticated_v3_15000000_plus_independent_30000000_fixed_45000000_standard_pymatching_only,5,19eebdf7bb1ccfacb5eb80b5f82a1eb95e0caf47503c5e74cc85d336edf58055,standard_d5d5d5,4280,0.1.2,6a2b0882a4f72545cac943ed66aece55d9d65747,b08dd94267ac857554d9177ae964362170cd1917b0e7282fdb73391d2c78b07e,d658f25ecfb58d616fcef2d3e3455010adb3b9a163bf1505de817fb6ffb45219
standard_d5d5d5,X,d5-d5-d5 X,Standard D5-D5-D5 · logical-X,standard_pymatching,False,False,L0 = X_C(in) X_T(in) -> X_C(out),decoded control-X/backward logical-flow failure probability per CNOT shot,0.006,0.0001,0.0001,9.5,45,4235,45000000,45000000,1646,0,3.6577777777777776e-05,3.48318921687718e-05,3.838851144004077e-05,786729f64280a63db1ea3d973a0310dfb964ee646fd934fad98e0215dd83d047,0a9bf6849d7d302dcbb1b59f848e370b6144485350096817cd5458a79eb8c5c2,b8a1c721f0de1ee8495d5812cec5b3da6b2f35d70256c3e83117777a7bea6cab,0ca38829be89a759e9fa42f83b0941a35c5546b0392076e5f6773a379e248949,strict_decomposed,authenticated_v3_15000000_plus_independent_30000000_fixed_45000000_standard_pymatching_only,5,19eebdf7bb1ccfacb5eb80b5f82a1eb95e0caf47503c5e74cc85d336edf58055,standard_d5d5d5,4280,0.1.2,6a2b0882a4f72545cac943ed66aece55d9d65747,b08dd94267ac857554d9177ae964362170cd1917b0e7282fdb73391d2c78b07e,d658f25ecfb58d616fcef2d3e3455010adb3b9a163bf1505de817fb6ffb45219
standard_d5d5d5,X,d5-d5-d5 X,Standard D5-D5-D5 · logical-X,standard_pymatching,False,False,L0 = X_C(in) X_T(in) -> X_C(out),decoded control-X/backward logical-flow failure probability per CNOT shot,0.007,0.0001,0.0001,9.5,45,4235,45000000,45000000,2377,0,5.282222222222222e-05,5.071991080933749e-05,5.498929008195479e-05,786729f64280a63db1ea3d973a0310dfb964ee646fd934fad98e0215dd83d047,be6eea62d68fe5bd61d461607ff277d23dd3d7ddde04c853c6c764cfe6ec6e62,559ed8eca6482ff25fdffff8e2884d55e70b224a21d38f449fb60f452768cad9,26a65c43804bd6d3367bc22b542c1085e9d7844f741cfd5649cbbfa9521cdec4,strict_decomposed,authenticated_v3_15000000_plus_independent_30000000_fixed_45000000_standard_pymatching_only,5,19eebdf7bb1ccfacb5eb80b5f82a1eb95e0caf47503c5e74cc85d336edf58055,standard_d5d5d5,4280,0.1.2,6a2b0882a4f72545cac943ed66aece55d9d65747,b08dd94267ac857554d9177ae964362170cd1917b0e7282fdb73391d2c78b07e,d658f25ecfb58d616fcef2d3e3455010adb3b9a163bf1505de817fb6ffb45219
standard_d5d5d5,X,d5-d5-d5 X,Standard D5-D5-D5 · logical-X,standard_pymatching,False,False,L0 = X_C(in) X_T(in) -> X_C(out),decoded control-X/backward logical-flow failure probability per CNOT shot,0.008,0.0001,0.0001,9.5,45,4235,45000000,45000000,3426,0,7.613333333333333e-05,7.360518946385728e-05,7.87261564313682e-05,786729f64280a63db1ea3d973a0310dfb964ee646fd934fad98e0215dd83d047,cca56511e7b263851a937b7a3014055c9cc9408f2ff63aa8f0dd8ecda9d8fcc8,b95393ade07f3cb51f7d33f7e8a89695399980b149192215b785b5407d387a9f,1f64334b07cfca4e14446379aa04d094d16abeb4188e457fb7e740176cdbc989,strict_decomposed,authenticated_v3_15000000_plus_independent_30000000_fixed_45000000_standard_pymatching_only,5,19eebdf7bb1ccfacb5eb80b5f82a1eb95e0caf47503c5e74cc85d336edf58055,standard_d5d5d5,4280,0.1.2,6a2b0882a4f72545cac943ed66aece55d9d65747,b08dd94267ac857554d9177ae964362170cd1917b0e7282fdb73391d2c78b07e,d658f25ecfb58d616fcef2d3e3455010adb3b9a163bf1505de817fb6ffb45219
standard_d5d5d5,X,d5-d5-d5 X,Standard D5-D5-D5 · logical-X,standard_pymatching,False,False,L0 = X_C(in) X_T(in) -> X_C(out),decoded control-X/backward logical-flow failure probability per CNOT shot,0.009,0.0001,0.0001,9.5,45,4235,45000000,45000000,4693,0,0.00010428888888888889,0.00010132640200283052,0.00010731599745301582,786729f64280a63db1ea3d973a0310dfb964ee646fd934fad98e0215dd83d047,ce62d6fa11ecb44288417d8435cb069237a3c2d004bf17c8fef68fea3ad87cfd,56983467e434ca0923e44c9628e7dbe55550eba7be9f8c1fd704d69e80797d4f,217ce90300bfaf3971da9fb08cffc2e5102f7eda2fb43a462bd26bba16d01c8b,strict_decomposed,authenticated_v3_15000000_plus_independent_30000000_fixed_45000000_standard_pymatching_only,5,19eebdf7bb1ccfacb5eb80b5f82a1eb95e0caf47503c5e74cc85d336edf58055,standard_d5d5d5,4280,0.1.2,6a2b0882a4f72545cac943ed66aece55d9d65747,b08dd94267ac857554d9177ae964362170cd1917b0e7282fdb73391d2c78b07e,d658f25ecfb58d616fcef2d3e3455010adb3b9a163bf1505de817fb6ffb45219
standard_d5d5d5,X,d5-d5-d5 X,Standard D5-D5-D5 · logical-X,standard_pymatching,False,False,L0 = X_C(in) X_T(in) -> X_C(out),decoded control-X/backward logical-flow failure probability per CNOT shot,0.01,0.0001,0.0001,9.5,45,4235,45000000,45000000,6061,0,0.0001346888888888889,0.00013131936207862123,0.00013812299544284313,786729f64280a63db1ea3d973a0310dfb964ee646fd934fad98e0215dd83d047,fdd77d856ea60c137b031311b3d6a2ef2889dfb0f54653ce307ea073234e4d82,55830429ebbc164aa4a2cce9438e7b66567572ed27401f11d2532be02597537f,dc48f9f8995d8edab1fe7486abc2b7d2ba676bdaafeeb0bc73c1e5522917b894,strict_decomposed,authenticated_v3_15000000_plus_independent_30000000_fixed_45000000_standard_pymatching_only,5,19eebdf7bb1ccfacb5eb80b5f82a1eb95e0caf47503c5e74cc85d336edf58055,standard_d5d5d5,4280,0.1.2,6a2b0882a4f72545cac943ed66aece55d9d65747,b08dd94267ac857554d9177ae964362170cd1917b0e7282fdb73391d2c78b07e,d658f25ecfb58d616fcef2d3e3455010adb3b9a163bf1505de817fb6ffb45219
