architecture,logical_basis,legend_label,display_label,decoder,enable_correlations_at_compile,enable_correlations_at_decode,observable,metric,p_link,p1,bulk_p2,boundary_x,crossing_two_qubit_locations,bulk_two_qubit_locations,shots,retained_shots,logical_errors,discards,ler,clopper_pearson_95_low,clopper_pearson_95_high,circuit_sha256,noisy_circuit_sha256,strict_dem_sha256,native_dem_sha256,dem_model,sampling_policy,shortest_graphlike_error,source_manifest_sha256,source_native_architecture,total_two_qubit_locations,tqecd_version,tqecd_git_commit,detector_source_manifest_sha256,aggregation_manifest_sha256
mixed_d3_d7_d3,X,d3-d7-d3 X,Mixed D3-D7-D3 · logical-X · top-bottom first,standard_pymatching,False,False,L0 = X_C(in) X_T(in) -> X_C(out),decoded control-X/backward logical-flow failure probability per CNOT shot,0.001,0.0001,0.0001,8.0,70,2346,45000000,45000000,2689,0,5.975555555555556e-05,5.751818363251814e-05,6.205765647204073e-05,cd40bd12c1a96068865a6fb3507c3c68f01b112a42b4f150cb4375b2f1c2a3e1,48b542f2a529908f7d51550b93215cd49d399ecb2a1245d8256758159b4c9267,68c155af3e53bc59713aaa9ee5954c137695585f4edeb04b68d0f843d9a23047,0c84cafaba80dae54337ae07bc3703e9edaeae8bcd4aac466a78cf0a892abcb1,strict_decomposed,authenticated_v3_15000000_plus_independent_30000000_fixed_45000000_standard_pymatching_only,3,bc49f426815b79e82409c107e42c8873443b06fdac17d16498c7ec24b60f84e9,mixed_d3_d7_d3_top_bottom_first,2416,0.1.2,6a2b0882a4f72545cac943ed66aece55d9d65747,055de1598abde60eaf50cf12dc39aae2bb0be4c17e1704c4f4f8c19663bf8c55,d2e7425eb2c8452658f8964bcf5923f95c9e9731f5cb6881bb9a3ab2726ebd30
mixed_d3_d7_d3,X,d3-d7-d3 X,Mixed D3-D7-D3 · logical-X · top-bottom first,standard_pymatching,False,False,L0 = X_C(in) X_T(in) -> X_C(out),decoded control-X/backward logical-flow failure probability per CNOT shot,0.002,0.0001,0.0001,8.0,70,2346,45000000,45000000,2728,0,6.062222222222222e-05,5.8368531631710335e-05,6.294063869832123e-05,cd40bd12c1a96068865a6fb3507c3c68f01b112a42b4f150cb4375b2f1c2a3e1,a66b887902973d4d2b264c60adaf4875ad0f911b8e87098d4d0327231f2666c9,7ffacd01117a589c616f23884fb02508be75c3d1a7601edf59c3565366c6c42f,467860b8826ed09578f6fc4eab10689c5335504cad894afb74d905236301f577,strict_decomposed,authenticated_v3_15000000_plus_independent_30000000_fixed_45000000_standard_pymatching_only,3,bc49f426815b79e82409c107e42c8873443b06fdac17d16498c7ec24b60f84e9,mixed_d3_d7_d3_top_bottom_first,2416,0.1.2,6a2b0882a4f72545cac943ed66aece55d9d65747,055de1598abde60eaf50cf12dc39aae2bb0be4c17e1704c4f4f8c19663bf8c55,d2e7425eb2c8452658f8964bcf5923f95c9e9731f5cb6881bb9a3ab2726ebd30
mixed_d3_d7_d3,X,d3-d7-d3 X,Mixed D3-D7-D3 · logical-X · top-bottom first,standard_pymatching,False,False,L0 = X_C(in) X_T(in) -> X_C(out),decoded control-X/backward logical-flow failure probability per CNOT shot,0.003,0.0001,0.0001,8.0,70,2346,45000000,45000000,2928,0,6.506666666666667e-05,6.273106594277624e-05,6.746697828941292e-05,cd40bd12c1a96068865a6fb3507c3c68f01b112a42b4f150cb4375b2f1c2a3e1,bb0867ee25bfb47d6eea63b6e3f8927a4fea6e5e5ba9b22c234554bc77ec1d0a,32a5fa1a82e9074faf6092018f277110cca8be5a67a9cfb6820079d7441a3eb4,11622c7e237dff050ce3c5c52eb0b545dfcf8eb887d338d74b2baef18a552c4b,strict_decomposed,authenticated_v3_15000000_plus_independent_30000000_fixed_45000000_standard_pymatching_only,3,bc49f426815b79e82409c107e42c8873443b06fdac17d16498c7ec24b60f84e9,mixed_d3_d7_d3_top_bottom_first,2416,0.1.2,6a2b0882a4f72545cac943ed66aece55d9d65747,055de1598abde60eaf50cf12dc39aae2bb0be4c17e1704c4f4f8c19663bf8c55,d2e7425eb2c8452658f8964bcf5923f95c9e9731f5cb6881bb9a3ab2726ebd30
mixed_d3_d7_d3,X,d3-d7-d3 X,Mixed D3-D7-D3 · logical-X · top-bottom first,standard_pymatching,False,False,L0 = X_C(in) X_T(in) -> X_C(out),decoded control-X/backward logical-flow failure probability per CNOT shot,0.004,0.0001,0.0001,8.0,70,2346,45000000,45000000,3000,0,6.666666666666667e-05,6.430226688475472e-05,6.909577230792137e-05,cd40bd12c1a96068865a6fb3507c3c68f01b112a42b4f150cb4375b2f1c2a3e1,1b2fd28e3c5603f9ed91e640e9e9a605b111e51b5588c4a9c83f450ae3fe8ddc,13114aa1e20aacdb1ecd163952ab152dabe0b6c2fb95c494e3e2294ef8247d44,02d7a5daf2e561c09ea8d43e0d9e6907e2b94ca2f7c580ce11db421fb7126a1c,strict_decomposed,authenticated_v3_15000000_plus_independent_30000000_fixed_45000000_standard_pymatching_only,3,bc49f426815b79e82409c107e42c8873443b06fdac17d16498c7ec24b60f84e9,mixed_d3_d7_d3_top_bottom_first,2416,0.1.2,6a2b0882a4f72545cac943ed66aece55d9d65747,055de1598abde60eaf50cf12dc39aae2bb0be4c17e1704c4f4f8c19663bf8c55,d2e7425eb2c8452658f8964bcf5923f95c9e9731f5cb6881bb9a3ab2726ebd30
mixed_d3_d7_d3,X,d3-d7-d3 X,Mixed D3-D7-D3 · logical-X · top-bottom first,standard_pymatching,False,False,L0 = X_C(in) X_T(in) -> X_C(out),decoded control-X/backward logical-flow failure probability per CNOT shot,0.005,0.0001,0.0001,8.0,70,2346,45000000,45000000,3236,0,7.191111111111111e-05,6.945466089873475e-05,7.443225180976593e-05,cd40bd12c1a96068865a6fb3507c3c68f01b112a42b4f150cb4375b2f1c2a3e1,78517689f30178999a4a6f3c5c17fbf18c0dc14ced7aa597e074433cb2c81549,1ab433a9e4f9ae794ee4c058e0db2d7d56cc721f5fe5101dc6f8288cd188846c,a2fad314fd04f21c1ca67a2a017731853168b3a14811e61e424ba276d98b6aec,strict_decomposed,authenticated_v3_15000000_plus_independent_30000000_fixed_45000000_standard_pymatching_only,3,bc49f426815b79e82409c107e42c8873443b06fdac17d16498c7ec24b60f84e9,mixed_d3_d7_d3_top_bottom_first,2416,0.1.2,6a2b0882a4f72545cac943ed66aece55d9d65747,055de1598abde60eaf50cf12dc39aae2bb0be4c17e1704c4f4f8c19663bf8c55,d2e7425eb2c8452658f8964bcf5923f95c9e9731f5cb6881bb9a3ab2726ebd30
mixed_d3_d7_d3,X,d3-d7-d3 X,Mixed D3-D7-D3 · logical-X · top-bottom first,standard_pymatching,False,False,L0 = X_C(in) X_T(in) -> X_C(out),decoded control-X/backward logical-flow failure probability per CNOT shot,0.006,0.0001,0.0001,8.0,70,2346,45000000,45000000,3365,0,7.477777777777778e-05,7.227242953242328e-05,7.734780876710681e-05,cd40bd12c1a96068865a6fb3507c3c68f01b112a42b4f150cb4375b2f1c2a3e1,958244926b22141ba375d3f12aa486fda0d424a16246cb52eb11ddfe6a45afa6,55b1354a8a7e9f5640cbd8ed11f6aa2ba931972be629a7c70394e1f21a2c3f80,6d59668c52965f594b42dad02bd8bd8c7b41e49eaf8a0b7202545e8102ad56bf,strict_decomposed,authenticated_v3_15000000_plus_independent_30000000_fixed_45000000_standard_pymatching_only,3,bc49f426815b79e82409c107e42c8873443b06fdac17d16498c7ec24b60f84e9,mixed_d3_d7_d3_top_bottom_first,2416,0.1.2,6a2b0882a4f72545cac943ed66aece55d9d65747,055de1598abde60eaf50cf12dc39aae2bb0be4c17e1704c4f4f8c19663bf8c55,d2e7425eb2c8452658f8964bcf5923f95c9e9731f5cb6881bb9a3ab2726ebd30
mixed_d3_d7_d3,X,d3-d7-d3 X,Mixed D3-D7-D3 · logical-X · top-bottom first,standard_pymatching,False,False,L0 = X_C(in) X_T(in) -> X_C(out),decoded control-X/backward logical-flow failure probability per CNOT shot,0.007,0.0001,0.0001,8.0,70,2346,45000000,45000000,3598,0,7.995555555555555e-05,7.736420676749343e-05,8.261157412100722e-05,cd40bd12c1a96068865a6fb3507c3c68f01b112a42b4f150cb4375b2f1c2a3e1,a25971a78ab2d4fd51cac157c874ff05b344df6dfbfc2dfc398aee1d55a18aad,9d8f163aae1cce2682076a1f69c83866a5ec35f18e34f6dde53379a7524342f3,a857e76029aca5461dd457e83e9e7c448bef95aa3f2fcdbb364f0209545f4dc2,strict_decomposed,authenticated_v3_15000000_plus_independent_30000000_fixed_45000000_standard_pymatching_only,3,bc49f426815b79e82409c107e42c8873443b06fdac17d16498c7ec24b60f84e9,mixed_d3_d7_d3_top_bottom_first,2416,0.1.2,6a2b0882a4f72545cac943ed66aece55d9d65747,055de1598abde60eaf50cf12dc39aae2bb0be4c17e1704c4f4f8c19663bf8c55,d2e7425eb2c8452658f8964bcf5923f95c9e9731f5cb6881bb9a3ab2726ebd30
mixed_d3_d7_d3,X,d3-d7-d3 X,Mixed D3-D7-D3 · logical-X · top-bottom first,standard_pymatching,False,False,L0 = X_C(in) X_T(in) -> X_C(out),decoded control-X/backward logical-flow failure probability per CNOT shot,0.008,0.0001,0.0001,8.0,70,2346,45000000,45000000,3793,0,8.428888888888889e-05,8.162768473204736e-05,8.701475285341622e-05,cd40bd12c1a96068865a6fb3507c3c68f01b112a42b4f150cb4375b2f1c2a3e1,119de4878318fffc768f5ac93d0793fb9ba9267252cfdcda903db4203af2537a,41b92fbf830094a8abc5f1a82831a2e4206b6d57338d944371e719827ff43d6d,6582c8ea6a154ff0cb820c777b93eb3fa6c536c227962754a72b32ff832fdb36,strict_decomposed,authenticated_v3_15000000_plus_independent_30000000_fixed_45000000_standard_pymatching_only,3,bc49f426815b79e82409c107e42c8873443b06fdac17d16498c7ec24b60f84e9,mixed_d3_d7_d3_top_bottom_first,2416,0.1.2,6a2b0882a4f72545cac943ed66aece55d9d65747,055de1598abde60eaf50cf12dc39aae2bb0be4c17e1704c4f4f8c19663bf8c55,d2e7425eb2c8452658f8964bcf5923f95c9e9731f5cb6881bb9a3ab2726ebd30
mixed_d3_d7_d3,X,d3-d7-d3 X,Mixed D3-D7-D3 · logical-X · top-bottom first,standard_pymatching,False,False,L0 = X_C(in) X_T(in) -> X_C(out),decoded control-X/backward logical-flow failure probability per CNOT shot,0.009,0.0001,0.0001,8.0,70,2346,45000000,45000000,4090,0,9.088888888888889e-05,8.812465498304278e-05,9.371776873073675e-05,cd40bd12c1a96068865a6fb3507c3c68f01b112a42b4f150cb4375b2f1c2a3e1,038023dbfcccfc6a409780d9c5a11f70df6be78187921bb026947bbb9ff2f361,3e2eb16c24c2b057bf8ecfd281216a0483cae70c5bc396d4a137ae5cc225f2b3,b4677c6dbd804d3004d316a5406a1cfc865ede428fc6377205adf39a5556b3d9,strict_decomposed,authenticated_v3_15000000_plus_independent_30000000_fixed_45000000_standard_pymatching_only,3,bc49f426815b79e82409c107e42c8873443b06fdac17d16498c7ec24b60f84e9,mixed_d3_d7_d3_top_bottom_first,2416,0.1.2,6a2b0882a4f72545cac943ed66aece55d9d65747,055de1598abde60eaf50cf12dc39aae2bb0be4c17e1704c4f4f8c19663bf8c55,d2e7425eb2c8452658f8964bcf5923f95c9e9731f5cb6881bb9a3ab2726ebd30
mixed_d3_d7_d3,X,d3-d7-d3 X,Mixed D3-D7-D3 · logical-X · top-bottom first,standard_pymatching,False,False,L0 = X_C(in) X_T(in) -> X_C(out),decoded control-X/backward logical-flow failure probability per CNOT shot,0.01,0.0001,0.0001,8.0,70,2346,45000000,45000000,4263,0,9.473333333333334e-05,9.19108060645233e-05,9.762049909245491e-05,cd40bd12c1a96068865a6fb3507c3c68f01b112a42b4f150cb4375b2f1c2a3e1,eaee8f1fe57ae8c3404c2ec6181fda6629a7a6908920b83fbe4c326220ee8d59,c565ed217271cf61b6a2c06b6d211bc1fd5b8ad1ca498f2e4a083e9dab6d137d,f689a6aad56b0d4f2f9dd59799d88b6596681a05bd276c993aa3dcaa59e2911c,strict_decomposed,authenticated_v3_15000000_plus_independent_30000000_fixed_45000000_standard_pymatching_only,3,bc49f426815b79e82409c107e42c8873443b06fdac17d16498c7ec24b60f84e9,mixed_d3_d7_d3_top_bottom_first,2416,0.1.2,6a2b0882a4f72545cac943ed66aece55d9d65747,055de1598abde60eaf50cf12dc39aae2bb0be4c17e1704c4f4f8c19663bf8c55,d2e7425eb2c8452658f8964bcf5923f95c9e9731f5cb6881bb9a3ab2726ebd30
