architecture,logical_basis,legend_label,source_native_architecture,display_label,decoder,enable_correlations_at_compile,enable_correlations_at_decode,observable,metric,p_link,p1,bulk_p2,boundary_x,crossing_two_qubit_locations,bulk_two_qubit_locations,shots,retained_shots,logical_errors,discards,ler,clopper_pearson_95_low,clopper_pearson_95_high,circuit_sha256,noisy_circuit_sha256,strict_dem_sha256,native_dem_sha256,dem_model,sampling_policy,total_two_qubit_locations,shortest_graphlike_error,tqecd_version,tqecd_git_commit,source_manifest_sha256,detector_source_manifest_sha256,aggregation_manifest_sha256
standard_d3d3d3,X,d3-d3-d3 X,standard_d3d3d3,Standard D3-D3-D3 · logical-X,standard_pymatching,False,False,L0 = X_C(in) X_T(in) -> X_C(out),decoded control-X/backward logical-flow failure probability per CNOT shot,0.001,0.0001,0.0001,8.5,15,657,45000000,45000000,3275,0,7.277777777777778e-05,7.03064432347699e-05,7.531380042056238e-05,7688caa263d40804f61c47fc5f574e34d757304e832dc44a67761d7a612f435b,25814d03bf93cffbe4fe649085d6c245dfc84a49d6f4f44a2c8fc98038c44346,99cdf18185fb8a1bd1993a67b8f375cd838438d63cae08bd137f05f4b54c76fd,a8daa543410001c37246f874868de1504f390326acf8353f7350cdc44832066f,strict_decomposed,authenticated_prior_plus_disjoint_20260921_fixed_45000000_standard_pymatching,672,3,0.1.2,6a2b0882a4f72545cac943ed66aece55d9d65747,632c0e3c753c4e889fab4c66b3b592b663a5a4ce5e6fc3212bc4d13157529a50,6febbdf7cdd2618d47b193a03c4bc227f80ade50876240b041032805167a739b,00bf458fa5a9994632181f4972629bfc4dfc83b8b279c7ece5c8d428c8cd9349
standard_d3d3d3,X,d3-d3-d3 X,standard_d3d3d3,Standard D3-D3-D3 · logical-X,standard_pymatching,False,False,L0 = X_C(in) X_T(in) -> X_C(out),decoded control-X/backward logical-flow failure probability per CNOT shot,0.002,0.0001,0.0001,8.5,15,657,45000000,45000000,5816,0,0.00012924444444444445,0.00012594414518213556,0.00013260932996141808,7688caa263d40804f61c47fc5f574e34d757304e832dc44a67761d7a612f435b,4700fb711b0ebfa30203986c5c3ac40bcc334e6c4aff09da99bcfcc2af72250e,7857c8d0e8b49f94ab0a382820f66a890c904ec8b4c0b37f6787a783d204a303,8206cb1ec3e9a5c0c33c0e9edad8803509c7feec4df7c4f1f546eede942b36b6,strict_decomposed,authenticated_prior_plus_disjoint_20260921_fixed_45000000_standard_pymatching,672,3,0.1.2,6a2b0882a4f72545cac943ed66aece55d9d65747,632c0e3c753c4e889fab4c66b3b592b663a5a4ce5e6fc3212bc4d13157529a50,6febbdf7cdd2618d47b193a03c4bc227f80ade50876240b041032805167a739b,00bf458fa5a9994632181f4972629bfc4dfc83b8b279c7ece5c8d428c8cd9349
standard_d3d3d3,X,d3-d3-d3 X,standard_d3d3d3,Standard D3-D3-D3 · logical-X,standard_pymatching,False,False,L0 = X_C(in) X_T(in) -> X_C(out),decoded control-X/backward logical-flow failure probability per CNOT shot,0.003,0.0001,0.0001,8.5,15,657,45000000,45000000,8922,0,0.00019826666666666667,0.0001941741273000693,0.00020242372857850744,7688caa263d40804f61c47fc5f574e34d757304e832dc44a67761d7a612f435b,356162d41958392506c68a8921a1184c3fd3dd7819c792727104c2f8c894377f,24caab19b98e587fc6aad71844b7de12e4703313ee6d9da8b5e08c20a0b77257,b292344e8d04350609b0f66db6e91c405791cf62c2174f5a24193ca01366a942,strict_decomposed,authenticated_prior_plus_disjoint_20260921_fixed_45000000_standard_pymatching,672,3,0.1.2,6a2b0882a4f72545cac943ed66aece55d9d65747,632c0e3c753c4e889fab4c66b3b592b663a5a4ce5e6fc3212bc4d13157529a50,6febbdf7cdd2618d47b193a03c4bc227f80ade50876240b041032805167a739b,00bf458fa5a9994632181f4972629bfc4dfc83b8b279c7ece5c8d428c8cd9349
standard_d3d3d3,X,d3-d3-d3 X,standard_d3d3d3,Standard D3-D3-D3 · logical-X,standard_pymatching,False,False,L0 = X_C(in) X_T(in) -> X_C(out),decoded control-X/backward logical-flow failure probability per CNOT shot,0.004,0.0001,0.0001,8.5,15,657,45000000,45000000,12952,0,0.0002878222222222222,0.0002828871688979446,0.0002928217474638597,7688caa263d40804f61c47fc5f574e34d757304e832dc44a67761d7a612f435b,92ffa75d0bbab2ef5f3e48b25a4ed651e3d00106d4b232a22c4e2987c0659375,0196cc834c1231780e4c6cc4037a7b3b332cc599767f8821be17f7965aec21a2,e7fb379000cacfa3c6b13cd689bfff00413a6eccee82bdf448c097a4a5ef3877,strict_decomposed,authenticated_prior_plus_disjoint_20260921_fixed_45000000_standard_pymatching,672,3,0.1.2,6a2b0882a4f72545cac943ed66aece55d9d65747,632c0e3c753c4e889fab4c66b3b592b663a5a4ce5e6fc3212bc4d13157529a50,6febbdf7cdd2618d47b193a03c4bc227f80ade50876240b041032805167a739b,00bf458fa5a9994632181f4972629bfc4dfc83b8b279c7ece5c8d428c8cd9349
standard_d3d3d3,X,d3-d3-d3 X,standard_d3d3d3,Standard D3-D3-D3 · logical-X,standard_pymatching,False,False,L0 = X_C(in) X_T(in) -> X_C(out),decoded control-X/backward logical-flow failure probability per CNOT shot,0.005,0.0001,0.0001,8.5,15,657,45000000,45000000,17969,0,0.0003993111111111111,0.0003934948781244453,0.00040519177283026496,7688caa263d40804f61c47fc5f574e34d757304e832dc44a67761d7a612f435b,eaa7dc3b3f16aaa6235e10e96ce4da7ed6b6ca87ed260b9d3bd79c2bc06485fe,6ae4ebef264c01b9e29b477a0bdc2e158967108b8689ca07e225ec5da9ae3999,4751536cf8279a7856b231136313e4abc95c02afef1efe2a9e6a1b982cc08c65,strict_decomposed,authenticated_prior_plus_disjoint_20260921_fixed_45000000_standard_pymatching,672,3,0.1.2,6a2b0882a4f72545cac943ed66aece55d9d65747,632c0e3c753c4e889fab4c66b3b592b663a5a4ce5e6fc3212bc4d13157529a50,6febbdf7cdd2618d47b193a03c4bc227f80ade50876240b041032805167a739b,00bf458fa5a9994632181f4972629bfc4dfc83b8b279c7ece5c8d428c8cd9349
standard_d3d3d3,X,d3-d3-d3 X,standard_d3d3d3,Standard D3-D3-D3 · logical-X,standard_pymatching,False,False,L0 = X_C(in) X_T(in) -> X_C(out),decoded control-X/backward logical-flow failure probability per CNOT shot,0.006,0.0001,0.0001,8.5,15,657,45000000,45000000,23573,0,0.0005238444444444444,0.0005171800555015513,0.0005305732255076241,7688caa263d40804f61c47fc5f574e34d757304e832dc44a67761d7a612f435b,db897e9e64f7dda0f6f204980ce33398355a5cb8eec1ef37f3ca353567269be3,51485dff06c9c2fc3cc58c51ee31c0490c0eef5e5f1c292f3651f0cc4deeef19,5844f843919bbc907c0703ac4712e3d209a6c819329644a4ca58e4fa79a7597e,strict_decomposed,authenticated_prior_plus_disjoint_20260921_fixed_45000000_standard_pymatching,672,3,0.1.2,6a2b0882a4f72545cac943ed66aece55d9d65747,632c0e3c753c4e889fab4c66b3b592b663a5a4ce5e6fc3212bc4d13157529a50,6febbdf7cdd2618d47b193a03c4bc227f80ade50876240b041032805167a739b,00bf458fa5a9994632181f4972629bfc4dfc83b8b279c7ece5c8d428c8cd9349
standard_d3d3d3,X,d3-d3-d3 X,standard_d3d3d3,Standard D3-D3-D3 · logical-X,standard_pymatching,False,False,L0 = X_C(in) X_T(in) -> X_C(out),decoded control-X/backward logical-flow failure probability per CNOT shot,0.007,0.0001,0.0001,8.5,15,657,45000000,45000000,29958,0,0.0006657333333333333,0.0006582182480830882,0.0006733127764453891,7688caa263d40804f61c47fc5f574e34d757304e832dc44a67761d7a612f435b,8a5c7be4dcc02c66781d67478d5c501e7695bbb0aff203cf2b2caf03f5d9f271,b63b4b2505fe286271558223e40f7a4d20cbe0a5478ce7ebbe0bce192899c33a,ca87fb32bb4af71708f4a87af5029b8c85f95593b328d911cd6478060410e296,strict_decomposed,authenticated_prior_plus_disjoint_20260921_fixed_45000000_standard_pymatching,672,3,0.1.2,6a2b0882a4f72545cac943ed66aece55d9d65747,632c0e3c753c4e889fab4c66b3b592b663a5a4ce5e6fc3212bc4d13157529a50,6febbdf7cdd2618d47b193a03c4bc227f80ade50876240b041032805167a739b,00bf458fa5a9994632181f4972629bfc4dfc83b8b279c7ece5c8d428c8cd9349
standard_d3d3d3,X,d3-d3-d3 X,standard_d3d3d3,Standard D3-D3-D3 · logical-X,standard_pymatching,False,False,L0 = X_C(in) X_T(in) -> X_C(out),decoded control-X/backward logical-flow failure probability per CNOT shot,0.008,0.0001,0.0001,8.5,15,657,45000000,45000000,37444,0,0.0008320888888888889,0.000823685368269455,0.000840556732698505,7688caa263d40804f61c47fc5f574e34d757304e832dc44a67761d7a612f435b,234906a3d1974190aa4305a41fa33bbe1f8499a6840ccd7ee713e60c3d22de95,58830fd1b8fa78b84175250131e8b53331a68585aaec519fe37ebe594aebd676,94296a744dc7202ee3f31052b687a4e5ce67b52eeb8124f1bf1bcb60b3dcacb7,strict_decomposed,authenticated_prior_plus_disjoint_20260921_fixed_45000000_standard_pymatching,672,3,0.1.2,6a2b0882a4f72545cac943ed66aece55d9d65747,632c0e3c753c4e889fab4c66b3b592b663a5a4ce5e6fc3212bc4d13157529a50,6febbdf7cdd2618d47b193a03c4bc227f80ade50876240b041032805167a739b,00bf458fa5a9994632181f4972629bfc4dfc83b8b279c7ece5c8d428c8cd9349
standard_d3d3d3,X,d3-d3-d3 X,standard_d3d3d3,Standard D3-D3-D3 · logical-X,standard_pymatching,False,False,L0 = X_C(in) X_T(in) -> X_C(out),decoded control-X/backward logical-flow failure probability per CNOT shot,0.009,0.0001,0.0001,8.5,15,657,45000000,45000000,45553,0,0.0010122888888888888,0.0010030186398649278,0.0010216234274154608,7688caa263d40804f61c47fc5f574e34d757304e832dc44a67761d7a612f435b,228c44fbcacf0f37037e696f77b3e79ac9fd5b39bb4f8ac4dc0e22ac53d287cf,3339312e60919663c3db100d4f33f6d416100f3a027c6518c7b736a1f00fe10d,02a690316e18f810a5e13274e1b0304b5d1a4ae04733fa8498340408d5d57ae2,strict_decomposed,authenticated_prior_plus_disjoint_20260921_fixed_45000000_standard_pymatching,672,3,0.1.2,6a2b0882a4f72545cac943ed66aece55d9d65747,632c0e3c753c4e889fab4c66b3b592b663a5a4ce5e6fc3212bc4d13157529a50,6febbdf7cdd2618d47b193a03c4bc227f80ade50876240b041032805167a739b,00bf458fa5a9994632181f4972629bfc4dfc83b8b279c7ece5c8d428c8cd9349
standard_d3d3d3,X,d3-d3-d3 X,standard_d3d3d3,Standard D3-D3-D3 · logical-X,standard_pymatching,False,False,L0 = X_C(in) X_T(in) -> X_C(out),decoded control-X/backward logical-flow failure probability per CNOT shot,0.01,0.0001,0.0001,8.5,15,657,45000000,45000000,54265,0,0.001205888888888889,0.001195769980639396,0.0012160720531849277,7688caa263d40804f61c47fc5f574e34d757304e832dc44a67761d7a612f435b,5bce13f02994bf417ac4e880fafd0c021a7f42a150c76c27a199a1348c14b59f,9e411c6825a59e369be2ab1e09fc5f8eafb7d839e5f0ab5de15243ee3259f121,e3ebbf19d41710b7244eb3e5953e0ee19c5f46e051d007435f0e1617e25409a8,strict_decomposed,authenticated_prior_plus_disjoint_20260921_fixed_45000000_standard_pymatching,672,3,0.1.2,6a2b0882a4f72545cac943ed66aece55d9d65747,632c0e3c753c4e889fab4c66b3b592b663a5a4ce5e6fc3212bc4d13157529a50,6febbdf7cdd2618d47b193a03c4bc227f80ade50876240b041032805167a739b,00bf458fa5a9994632181f4972629bfc4dfc83b8b279c7ece5c8d428c8cd9349
